bioproject,biosample,sra,lat_start,lat_end,long_start,long_end,size_low,size_up,nitrate,Chlorophyll,oxy,Salinity,temperature,depth,coor1,coor2,size
PRJEB6609,SAMEA2732598,ERR1719422,17.0552,17.0538,-118.9008,-118.9016,20,180,0.038247,0.130872,201.768333,34.5249,24.790392,5,latitudeN=17.0552,longitudeE=-118.9008,(20-180)
PRJEB6609,SAMEA2622824,ERR1719404,-8.9111,-8.895,-142.5571,-142.6228,0.8,&gt;,4.985942,0.233673,187.302833,35.427733,26.780158,5,latitudeN=-8.9111,longitudeE=-142.5571,(0.8-&gt;)
PRJEB6609,SAMEA2623264,ERR1719441,17.0854,17.0612,-118.8913,-118.8987,0.8,&gt;,-1.145148,0.245841,201.216,34.52465,24.52735,5,latitudeN=17.0854,longitudeE=-118.8913,(0.8-&gt;)
PRJEB6609,SAMEA2732299,ERR1719512,-40.6297,-40.6289,-52.0503,-52.0479,20,180,-1.556072,0.073339,220.286583,35.923225,20.273933,5,latitudeN=-40.6297,longitudeE=-52.0503,(20-180)
PRJEB6609,SAMEA2621316,ERR1719475,-40.6511,-40.6494,-52.182,-52.1546,0.8,&gt;,-1.556072,0.249708,228.458417,35.6061,19.307392,5,latitudeN=-40.6511,longitudeE=-52.182,(0.8-&gt;)
PRJEB6609,SAMEA2657049,ERR1719196,-60.2584,-60.2658,-60.6226,-60.6155,180,2000,24.423039,0.109555,338.2982,33.71972,1.84402,5,latitudeN=-60.2584,longitudeE=-60.6226,(180-2000)
PRJEB6609,SAMEA2731031,ERR1719397,39.2214,39.218,-70.0322,-70.0325,180,2000,5.03906,0.320247,235.065833,35.1468,14.07945,5,latitudeN=39.2214,longitudeE=-70.0322,(180-2000)
PRJEB6609,SAMEA2657063,ERR1719168,2.0399,2.0455,-84.5599,-84.5573,5,20,0.451517,0.201947,199.898917,33.17585,27.902167,5,latitudeN=2.0399,longitudeE=-84.5599,(5-20)
PRJEB6609,SAMEA2621029,ERR1719344,-31.0266,-31.0263,4.665,4.6977,0.8,5,99999,0.201517,231.914833,35.68685,16.832058,5,latitudeN=-31.0266,longitudeE=4.665,(0.8-5)
PRJEB6609,SAMEA2622487,ERR1719262,-16.9587,-16.9687,-100.6751,-100.7324,0.8,&gt;,1.411516,0.378549,211.54555,35.687249,19.881449,90,latitudeN=-16.9587,longitudeE=-100.6751,(0.8-&gt;)
